Barangay,House Type,Lot Area (sqm),Floor Area (sqm),Number of Floors,Bedroom,Bathroom,Garage,Year Built,Price (PHP),Price Growth Rate,Market Price,Market Price Growth Rate
Calawis,Single-Family Home,214,143,2,5,4,0,2017,5125901.34,2.84,15377704.02,200.00%
Bagong Nayon,Townhouse,368,185,1,3,1,3,2017,8690824.74,4.73,26072474.22,200.00%
Mambugan,Duplex,233,217,2,4,4,3,2015,2491824.14,2.57,7475472.42,200.00%
Beverly Hills,Bungalow,342,265,1,6,2,0,2015,7926363.6,2.06,23779090.8,200.00%
San Juan,Single-Family Home,397,184,2,4,3,1,2018,4804504.31,3.25,14413512.93,200.00%
San Jose (Poblacion),Townhouse,361,268,3,2,4,0,2021,3587115.1,3.61,10761345.3,200.00%
Bagong Nayon,Single-Family Home,220,166,2,2,1,2,2014,8819921.36,2.39,26459764.08,200.00%
Calawis,Townhouse,346,208,2,3,3,0,2021,9128624.26,4.29,27385872.78,200.00%
Cupang,Townhouse,150,85,2,3,3,3,2016,6058401.68,2.32,18175205.04,200.00%
San Isidro (Poblacion),Bungalow,164,240,1,2,4,3,2014,6758861.75,4.54,20276585.25,200.00%
Mayamot,Single-Family Home,353,127,1,2,1,2,2014,3581880.99,4.94,10745642.97,200.00%
Dalig,Bungalow,268,204,1,5,4,1,2015,3378365.86,2.45,10135097.58,200.00%
Bagong Nayon,Bungalow,199,232,1,3,1,1,2017,4561592.92,3.51,13684778.76,200.00%
Dela Paz (Poblacion),Single-Family Home,359,188,1,4,2,1,2021,6700297.57,2.06,20100892.71,200.00%
San Juan,Townhouse,272,279,2,2,4,2,2015,8104580.82,3.38,24313742.46,200.00%
Cupang,Bungalow,221,264,1,2,2,0,2017,6696215.57,5.59,20088646.71,200.00%
Beverly Hills,Single-Family Home,229,161,3,4,1,0,2018,7685231.89,3.35,23055695.67,200.00%
Bagong Nayon,Bungalow,271,189,1,3,3,0,2015,5271904.98,2.74,15815714.94,200.00%
Bagong Nayon,Duplex,261,132,2,3,2,3,2018,4973224.45,3.17,14919673.35,200.00%
Muntindilaw,Townhouse,281,195,1,4,4,2,2016,7235088.4,3.46,21705265.2,200.00%
Muntindilaw,Duplex,181,125,1,4,1,2,2013,8459939.1,3.26,25379817.3,200.00%
San Jose (Poblacion),Duplex,240,116,3,3,4,0,2017,3051685.65,3,9155056.95,200.00%
Cupang,Single-Family Home,152,165,2,4,3,0,2017,7335138.1,3.31,22005414.3,200.00%
Inarawan,Townhouse,316,165,1,5,4,0,2014,2339428.58,3.03,7018285.74,200.00%
Mayamot,Single-Family Home,275,98,3,5,4,2,2018,6431210.46,5.8,19293631.38,200.00%
San Isidro (Poblacion),Bungalow,378,166,1,3,2,1,2019,4966434.47,5.74,14899303.41,200.00%
San Jose (Poblacion),Duplex,322,151,2,6,3,3,2014,9046662.18,3.58,27139986.54,200.00%
San Luis,Single-Family Home,283,279,2,3,3,3,2014,5329373.79,5.62,15988121.37,200.00%
Beverly Hills,Bungalow,232,231,1,6,4,2,2021,8423378.88,5.1,25270136.64,200.00%
San Luis,Townhouse,330,112,3,5,2,1,2020,6634583.5,3.4,19903750.5,200.00%
San Isidro (Poblacion),Single-Family Home,365,251,2,3,3,2,2022,4731057.71,2.54,14193173.13,200.00%
San Luis,Duplex,367,211,2,2,3,1,2018,8752663.88,5.68,26257991.64,200.00%
Mayamot,Bungalow,329,156,1,4,3,2,2017,6729019.41,4.45,20187058.23,200.00%
Mayamot,Single-Family Home,225,276,3,6,3,0,2014,2474321.18,5.46,7422963.54,200.00%
Mayamot,Bungalow,229,84,1,3,1,0,2016,4050240.9,2.54,12150722.7,200.00%
Muntindilaw,Single-Family Home,209,169,2,2,3,2,2021,2698004.95,4.35,8094014.85,200.00%
Muntindilaw,Bungalow,378,211,1,5,1,1,2021,8576936.07,5.54,25730808.21,200.00%
Mayamot,Bungalow,298,217,1,3,1,2,2014,5325374.38,3.02,15976123.14,200.00%
Dela Paz (Poblacion),Single-Family Home,207,116,1,6,2,1,2015,7490062.49,4,22470187.47,200.00%
Muntindilaw,Duplex,345,101,3,6,3,2,2021,4956708.42,2.37,14870125.26,200.00%
Inarawan,Duplex,219,238,3,3,4,0,2019,5875350.92,3.9,17626052.76,200.00%
Santa Cruz,Single-Family Home,241,148,3,5,1,2,2021,5450732.16,4.75,16352196.48,200.00%
San Luis,Bungalow,248,135,1,2,2,1,2015,2726711.74,5.24,8180135.22,200.00%
San Isidro (Poblacion),Duplex,236,115,2,4,2,0,2016,4793904.12,4.58,14381712.36,200.00%
San Isidro (Poblacion),Townhouse,375,219,2,6,3,1,2013,3674298.62,4.07,11022895.86,200.00%
Inarawan,Single-Family Home,189,273,3,6,1,2,2017,9219217.92,3.67,27657653.76,200.00%
Muntindilaw,Bungalow,395,268,1,6,1,2,2014,7776975.2,3.57,23330925.6,200.00%
Mayamot,Bungalow,385,243,1,5,1,1,2022,6410314.84,2.07,19230944.52,200.00%
Dela Paz (Poblacion),Townhouse,277,280,3,6,4,1,2013,4202761.2,5.71,12608283.6,200.00%
San Roque (Poblacion),Bungalow,174,108,1,2,4,3,2019,2772724.85,2.94,8318174.55,200.00%
Cupang,Duplex,327,176,2,6,1,1,2022,4324406.84,4.41,12973220.52,200.00%
San Juan,Bungalow,282,112,1,4,3,2,2020,4455532.4,5.39,13366597.2,200.00%
San Jose (Poblacion),Single-Family Home,386,184,2,6,4,3,2019,7037301.67,4.87,21111905.01,200.00%
Dalig,Townhouse,158,266,3,3,3,1,2017,9227851.49,3.99,27683554.47,200.00%
San Roque (Poblacion),Duplex,159,115,3,3,3,0,2017,3138281.72,5.15,9414845.16,200.00%
San Luis,Townhouse,221,195,1,5,3,2,2021,5240751.92,4.38,15722255.76,200.00%
San Roque (Poblacion),Duplex,270,184,3,2,1,0,2013,3972356.04,4.33,11917068.12,200.00%
Mambugan,Single-Family Home,259,276,1,3,1,1,2017,5281502.61,3.56,15844507.83,200.00%
Muntindilaw,Single-Family Home,372,188,1,3,2,3,2016,8691032.19,2.48,26073096.57,200.00%
San Luis,Bungalow,349,256,1,5,4,3,2018,6081503.01,3.42,18244509.03,200.00%
Calawis,Bungalow,361,223,1,6,4,0,2013,4963148.69,3.58,14889446.07,200.00%
Dela Paz (Poblacion),Duplex,298,210,2,3,3,3,2018,4584173.7,5.81,13752521.1,200.00%
Mambugan,Single-Family Home,356,137,1,2,2,2,2018,4676621.62,4.51,14029864.86,200.00%
Mambugan,Duplex,199,159,2,4,4,0,2015,8620005.33,2.81,25860015.99,200.00%
Mayamot,Duplex,163,261,1,3,1,3,2018,7724658.73,3.11,23173976.19,200.00%
San Jose (Poblacion),Duplex,390,152,2,2,3,1,2013,3730125.01,3.55,11190375.03,200.00%
San Roque (Poblacion),Bungalow,355,198,1,5,1,2,2014,5968060.79,2.97,17904182.37,200.00%
San Luis,Bungalow,184,224,1,2,1,1,2019,5203950.51,3.99,15611851.53,200.00%
Bagong Nayon,Bungalow,231,251,1,3,3,3,2015,7480821.7,3.1,22442465.1,200.00%
Bagong Nayon,Duplex,206,102,1,5,2,3,2018,8838829.05,5.57,26516487.15,200.00%
San Luis,Bungalow,197,161,1,5,2,2,2013,2206300.36,5.06,6618901.08,200.00%
Mambugan,Townhouse,361,241,1,3,1,3,2016,2360755.66,5.76,7082266.98,200.00%
Mayamot,Bungalow,344,271,1,4,1,1,2019,6619440.64,5.18,19858321.92,200.00%
Bagong Nayon,Bungalow,180,177,1,3,1,2,2014,3297665.72,3.46,9892997.16,200.00%
Santa Cruz,Townhouse,345,270,2,6,2,3,2014,6933940.79,2.19,20801822.37,200.00%
Mambugan,Bungalow,389,145,1,5,4,3,2021,3540757.17,4.71,10622271.51,200.00%
Beverly Hills,Townhouse,243,129,2,3,3,3,2016,3906776.5,3.15,11720329.5,200.00%
San Roque (Poblacion),Single-Family Home,282,219,2,5,3,0,2014,2901060.47,2.94,8703181.41,200.00%
Dela Paz (Poblacion),Townhouse,359,144,1,2,2,1,2015,9580083.86,2.18,28740251.58,200.00%
Santa Cruz,Single-Family Home,204,187,2,5,4,0,2020,8265400.16,4.11,24796200.48,200.00%
Mayamot,Duplex,192,158,2,5,1,3,2022,5343301.15,2.97,16029903.45,200.00%
Bagong Nayon,Bungalow,280,257,1,3,4,2,2015,2492846.16,5.19,7478538.48,200.00%
Dela Paz (Poblacion),Single-Family Home,302,120,3,4,2,2,2021,9728218.48,3.61,29184655.44,200.00%
San Juan,Townhouse,325,277,1,5,2,2,2018,8116067.8,4.82,24348203.4,200.00%
Muntindilaw,Townhouse,396,262,3,5,1,0,2016,9547916.94,2.91,28643750.82,200.00%
Dalig,Single-Family Home,152,147,3,6,1,0,2013,4798998.05,2.73,14396994.15,200.00%
San Juan,Duplex,219,200,3,6,1,2,2019,3576646.85,3.6,10729940.55,200.00%
Mayamot,Single-Family Home,379,268,3,3,1,2,2018,3501640.99,2.2,10504922.97,200.00%
San Roque (Poblacion),Bungalow,367,185,1,3,4,2,2022,6925361.74,5.2,20776085.22,200.00%
Bagong Nayon,Duplex,209,271,1,2,2,1,2014,3398371.43,4.27,10195114.29,200.00%
Mambugan,Bungalow,217,105,1,6,4,3,2016,9432831.14,3.71,28298493.42,200.00%
Santa Cruz,Bungalow,279,249,1,4,3,0,2022,5102178.18,5.61,15306534.54,200.00%
Cupang,Duplex,237,106,3,5,4,3,2022,2591764.58,5.55,7775293.74,200.00%
Muntindilaw,Duplex,155,140,1,4,1,1,2019,3021282.25,4.82,9063846.75,200.00%
Mayamot,Single-Family Home,274,257,2,6,1,0,2018,8720841.21,5.88,26162523.63,200.00%
Santa Cruz,Townhouse,268,85,3,6,1,2,2016,7567059.07,2.33,22701177.21,200.00%
San Isidro (Poblacion),Bungalow,350,250,1,4,3,3,2013,2281007.16,2.69,6843021.48,200.00%
Cupang,Townhouse,336,102,1,4,2,2,2013,5821113.07,3.3,17463339.21,200.00%
Mayamot,Bungalow,186,104,1,5,4,2,2018,8199250.28,3.24,24597750.84,200.00%
Santa Cruz,Single-Family Home,235,264,2,5,2,2,2016,6478227.97,4.14,19434683.91,200.00%
Mambugan,Single-Family Home,198,246,3,6,2,0,2014,5948170.09,5.88,17844510.27,200.00%
Inarawan,Bungalow,284,249,1,4,3,2,2021,6251668.51,3.32,18755005.53,200.00%
Calawis,Single-Family Home,150,104,2,4,1,1,2015,2504085.53,4.65,7512256.59,200.00%
San Juan,Bungalow,220,133,1,3,3,2,2013,4361730.01,3.18,13085190.03,200.00%
San Luis,Bungalow,194,220,1,2,2,3,2018,9400614.45,2.95,28201843.35,200.00%
Muntindilaw,Duplex,275,110,3,2,2,1,2016,7382988.44,4.94,22148965.32,200.00%
Beverly Hills,Townhouse,154,188,1,3,1,2,2016,3361928.82,5.95,10085786.46,200.00%
Calawis,Single-Family Home,357,211,1,2,2,1,2022,9442001.31,5.75,28326003.93,200.00%
Dela Paz (Poblacion),Bungalow,378,131,1,6,4,2,2017,3315352.52,5.03,9946057.56,200.00%
Inarawan,Townhouse,387,151,1,6,2,1,2019,5339066.38,2.97,16017199.14,200.00%
Dela Paz (Poblacion),Townhouse,282,218,3,2,1,0,2021,2083528.9,2.93,6250586.7,200.00%
Muntindilaw,Townhouse,297,200,2,6,3,3,2013,6623014.74,4.57,19869044.22,200.00%
San Jose (Poblacion),Duplex,385,203,3,5,2,0,2018,4875892.73,4.83,14627678.19,200.00%
Bagong Nayon,Single-Family Home,286,223,3,6,1,3,2020,7957554.88,2.09,23872664.64,200.00%
Inarawan,Bungalow,165,233,1,6,1,2,2022,5624695.72,3.83,16874087.16,200.00%
San Roque (Poblacion),Bungalow,181,159,1,6,2,2,2022,4958380.98,5.9,14875142.94,200.00%
Beverly Hills,Single-Family Home,382,121,3,2,3,0,2018,5020055.31,2.66,15060165.93,200.00%
Beverly Hills,Townhouse,204,94,3,2,4,0,2020,4326606.33,4.09,12979818.99,200.00%
San Luis,Duplex,310,158,3,6,3,2,2014,5108428.35,5.46,15325285.05,200.00%
Muntindilaw,Single-Family Home,398,192,2,4,3,0,2021,2651035.32,3.97,7953105.96,200.00%
Mayamot,Duplex,249,112,3,4,3,2,2016,4841794.75,3.06,14525384.25,200.00%
San Juan,Townhouse,372,182,2,3,1,1,2014,9383073.75,4.72,28149221.25,200.00%
San Juan,Duplex,211,181,2,6,4,3,2016,4238591.36,4.18,12715774.08,200.00%
Bagong Nayon,Single-Family Home,328,104,3,6,4,2,2022,9043411.32,4.9,27130233.96,200.00%
Muntindilaw,Townhouse,283,131,2,3,1,1,2014,2935715.62,4.46,8807146.86,200.00%
Mambugan,Duplex,220,232,1,3,4,3,2016,4529001.3,5.84,13587003.9,200.00%
Muntindilaw,Single-Family Home,229,279,3,3,3,3,2017,3528436.6,4.77,10585309.8,200.00%
Dalig,Townhouse,376,81,1,5,2,0,2018,9415048.67,2.34,28245146.01,200.00%
Bagong Nayon,Townhouse,229,249,3,5,4,0,2021,9229845.54,3.66,27689536.62,200.00%
San Luis,Bungalow,341,186,1,2,1,2,2013,7254984.75,3.46,21764954.25,200.00%
San Luis,Townhouse,370,182,2,4,2,0,2021,4593629.45,3.07,13780888.35,200.00%
Beverly Hills,Bungalow,213,167,1,6,1,0,2018,2979871.91,2.94,8939615.73,200.00%
Calawis,Townhouse,207,181,2,5,3,2,2013,5146535.78,5.32,15439607.34,200.00%
Bagong Nayon,Duplex,258,212,3,5,2,2,2014,8097082.43,2.86,24291247.29,200.00%
San Isidro (Poblacion),Bungalow,385,238,1,5,3,1,2018,6697064.85,4.26,20091194.55,200.00%
Bagong Nayon,Bungalow,150,109,1,6,1,2,2018,2779359.65,4.22,8338078.95,200.00%
San Juan,Bungalow,254,93,1,4,2,0,2015,4918117.79,2.7,14754353.37,200.00%
San Roque (Poblacion),Bungalow,229,187,1,4,2,2,2021,5134239.01,4.24,15402717.03,200.00%
Bagong Nayon,Townhouse,395,114,1,3,1,1,2013,4817137.57,5.56,14451412.71,200.00%
San Juan,Single-Family Home,392,199,2,4,2,2,2015,9315789.55,2.63,27947368.65,200.00%
San Juan,Townhouse,258,127,1,2,3,0,2016,3466399.13,5.3,10399197.39,200.00%
Santa Cruz,Bungalow,385,195,1,3,1,1,2018,4090167.41,3.63,12270502.23,200.00%
Muntindilaw,Bungalow,270,104,1,4,4,1,2018,3281850.38,4.84,9845551.14,200.00%
San Jose (Poblacion),Townhouse,256,87,3,3,3,1,2022,9650743.7,3.82,28952231.1,200.00%
San Juan,Single-Family Home,211,145,2,6,3,1,2015,9848490.45,3.59,29545471.35,200.00%
San Luis,Bungalow,256,163,1,4,1,0,2013,6028664.65,2.99,18085993.95,200.00%
San Juan,Single-Family Home,320,278,3,6,2,1,2015,2277667.25,4.27,6833001.75,200.00%
San Juan,Single-Family Home,269,121,1,5,3,1,2014,6599274.17,5.37,19797822.51,200.00%
Dalig,Single-Family Home,395,106,3,4,4,3,2016,7232735.48,2.95,21698206.44,200.00%
Muntindilaw,Bungalow,255,202,1,4,2,3,2020,9695523.46,4.83,29086570.38,200.00%
Calawis,Single-Family Home,274,191,2,5,1,1,2021,6948985.85,2.46,20846957.55,200.00%
Dela Paz (Poblacion),Bungalow,323,256,1,4,1,3,2021,9570458.2,4.91,28711374.6,200.00%
Cupang,Single-Family Home,241,263,1,2,2,2,2013,4789853.01,3.03,14369559.03,200.00%
San Roque (Poblacion),Single-Family Home,312,271,3,6,3,1,2022,5560119.06,3.75,16680357.18,200.00%
Santa Cruz,Single-Family Home,286,175,1,4,2,0,2015,6675269.7,5.98,20025809.1,200.00%
Dela Paz (Poblacion),Single-Family Home,360,177,2,6,1,3,2021,5650566,2.51,16951698,200.00%
Dalig,Duplex,233,264,1,4,4,2,2019,9535717.99,2.33,28607153.97,200.00%
Calawis,Bungalow,324,185,1,3,2,0,2019,4913768.26,3.09,14741304.78,200.00%
Beverly Hills,Townhouse,239,226,3,3,2,2,2019,3219365.6,4.61,9658096.8,200.00%
San Jose (Poblacion),Single-Family Home,234,94,3,2,3,1,2013,3636640.24,3.09,10909920.72,200.00%
Muntindilaw,Bungalow,364,192,1,4,4,0,2018,9316573.94,4.06,27949721.82,200.00%
Calawis,Bungalow,232,88,1,5,1,0,2020,3223057.86,3.91,9669173.58,200.00%
Inarawan,Townhouse,346,237,3,4,4,3,2019,5500571.15,2.43,16501713.45,200.00%
Dalig,Townhouse,204,256,1,4,2,0,2013,6317742.09,4.05,18953226.27,200.00%
Dela Paz (Poblacion),Bungalow,190,153,1,6,2,0,2014,2984009.48,5.66,8952028.44,200.00%
Muntindilaw,Townhouse,216,259,1,6,1,3,2021,5187358.24,5.01,15562074.72,200.00%
San Juan,Single-Family Home,345,126,3,5,2,1,2017,9133173.19,5.38,27399519.57,200.00%
Muntindilaw,Bungalow,362,127,1,5,4,1,2019,9434429.92,2.64,28303289.76,200.00%
Calawis,Bungalow,276,173,1,4,1,1,2017,5676967,5.79,17030901,200.00%
Dalig,Duplex,365,268,1,4,2,0,2017,2716257.43,2.9,8148772.29,200.00%
Santa Cruz,Townhouse,200,129,3,5,3,3,2020,9647521.85,4.04,28942565.55,200.00%
San Juan,Single-Family Home,180,211,1,4,3,2,2022,5518314.7,2.06,16554944.1,200.00%
Mambugan,Bungalow,351,117,1,2,4,1,2013,9280950.41,3.99,27842851.23,200.00%
Dalig,Single-Family Home,361,144,2,4,1,0,2016,3656195.27,4.64,10968585.81,200.00%
Mambugan,Townhouse,348,193,2,6,1,2,2014,8719174.73,2.83,26157524.19,200.00%
San Roque (Poblacion),Duplex,186,115,1,3,3,1,2019,2323375.62,3.69,6970126.86,200.00%
San Roque (Poblacion),Single-Family Home,165,185,3,2,3,2,2017,9499814.34,5.27,28499443.02,200.00%
Beverly Hills,Townhouse,273,270,3,2,4,3,2013,3284732.18,2.91,9854196.54,200.00%
Mambugan,Duplex,221,246,2,4,4,3,2022,7956182.64,4.53,23868547.92,200.00%
Cupang,Bungalow,183,155,1,5,3,1,2020,6441792.93,2.66,19325378.79,200.00%
Muntindilaw,Duplex,316,109,2,5,4,2,2017,6173008.01,2.65,18519024.03,200.00%
San Luis,Bungalow,192,160,1,5,1,3,2014,2199605.44,4.61,6598816.32,200.00%
San Roque (Poblacion),Duplex,386,250,1,4,1,3,2020,4697090.65,3.74,14091271.95,200.00%
San Luis,Bungalow,157,160,1,6,4,3,2021,7127663.93,4.33,21382991.79,200.00%
San Jose (Poblacion),Townhouse,358,207,3,6,2,1,2014,5663909.17,2.72,16991727.51,200.00%
San Jose (Poblacion),Townhouse,268,186,2,5,2,3,2015,5427189.27,4.56,16281567.81,200.00%
San Isidro (Poblacion),Townhouse,340,161,2,4,2,0,2021,5305674.94,5.69,15917024.82,200.00%
Calawis,Duplex,212,113,1,6,1,0,2022,3454727.87,5.67,10364183.61,200.00%
Santa Cruz,Townhouse,250,259,2,4,2,1,2018,4022531.74,5.69,12067595.22,200.00%
Santa Cruz,Single-Family Home,189,214,1,4,3,3,2018,3486198.43,2.99,10458595.29,200.00%
San Roque (Poblacion),Townhouse,156,149,1,2,4,3,2022,4163798.29,5.09,12491394.87,200.00%
Inarawan,Duplex,230,159,1,6,3,3,2014,2536958.94,4.77,7610876.82,200.00%
Bagong Nayon,Townhouse,195,149,1,6,1,0,2017,8280264.51,3.8,24840793.53,200.00%
Calawis,Duplex,380,189,3,5,4,1,2016,6630370.81,4.15,19891112.43,200.00%
Bagong Nayon,Single-Family Home,363,163,2,6,4,1,2014,4138826.47,4.18,12416479.41,200.00%
San Isidro (Poblacion),Townhouse,213,197,1,4,2,0,2020,4011446.81,4.25,12034340.43,200.00%
Calawis,Townhouse,256,245,3,6,3,2,2013,4532341.24,3.62,13597023.72,200.00%
San Isidro (Poblacion),Duplex,393,258,1,2,2,0,2015,6470182.23,4.34,19410546.69,200.00%
Inarawan,Townhouse,214,89,2,6,2,0,2013,4847921.28,4.45,14543763.84,200.00%
Muntindilaw,Townhouse,277,174,1,2,1,2,2013,2701959.84,4.06,8105879.52,200.00%
Inarawan,Duplex,236,236,3,3,2,1,2019,4088768.82,5.3,12266306.46,200.00%
San Isidro (Poblacion),Townhouse,352,134,2,4,4,1,2019,5089898.66,2.65,15269695.98,200.00%
San Juan,Duplex,222,111,1,3,2,3,2016,5501966.66,2.06,16505899.98,200.00%
San Jose (Poblacion),Duplex,240,113,2,4,4,3,2018,9372727.96,3.73,28118183.88,200.00%
San Luis,Townhouse,336,107,2,3,2,0,2020,9544249.31,2.87,28632747.93,200.00%
San Juan,Duplex,379,243,3,6,1,0,2014,7224133.13,2.7,21672399.39,200.00%
Bagong Nayon,Duplex,381,225,2,2,1,1,2018,4644295.47,5.64,13932886.41,200.00%
Muntindilaw,Duplex,363,226,3,3,2,0,2014,3846966.13,5.03,11540898.39,200.00%
Inarawan,Bungalow,237,94,1,3,2,3,2014,6211767.59,2.42,18635302.77,200.00%
Santa Cruz,Bungalow,260,144,1,2,3,0,2013,7357102.45,4.03,22071307.35,200.00%
Inarawan,Bungalow,246,233,1,6,4,1,2017,3800686.02,4.31,11402058.06,200.00%
Inarawan,Single-Family Home,282,276,2,2,4,2,2021,8295441.6,3.11,24886324.8,200.00%
Muntindilaw,Duplex,367,264,3,4,3,3,2014,2071440.25,2.27,6214320.75,200.00%
San Isidro (Poblacion),Bungalow,270,210,1,4,3,2,2015,6022311.5,5.65,18066934.5,200.00%
San Luis,Single-Family Home,336,256,3,2,1,0,2018,8169761.26,5.22,24509283.78,200.00%
San Isidro (Poblacion),Bungalow,352,200,1,2,4,2,2020,4724288.4,5.98,14172865.2,200.00%
San Roque (Poblacion),Townhouse,236,268,3,4,2,1,2016,5257371.13,4.33,15772113.39,200.00%
San Roque (Poblacion),Single-Family Home,216,158,2,3,2,3,2018,6354235.26,3.26,19062705.78,200.00%
Muntindilaw,Duplex,162,226,1,5,2,1,2018,3751759.61,5.51,11255278.83,200.00%
Muntindilaw,Townhouse,249,258,1,6,1,3,2020,6404921.74,4.01,19214765.22,200.00%
San Roque (Poblacion),Bungalow,368,273,1,5,4,0,2021,7533039.78,2.66,22599119.34,200.00%
Bagong Nayon,Duplex,177,170,3,2,1,1,2016,8882300.23,3.65,26646900.69,200.00%
Beverly Hills,Duplex,195,210,2,6,2,3,2018,4211362.67,2.13,12634088.01,200.00%
Mambugan,Bungalow,294,189,1,5,4,3,2014,9568858.49,3.07,28706575.47,200.00%
Mayamot,Townhouse,198,156,1,6,2,3,2014,9930847.72,3.68,29792543.16,200.00%
San Isidro (Poblacion),Duplex,325,175,3,5,2,3,2018,3564726.39,5.36,10694179.17,200.00%
Inarawan,Townhouse,317,191,2,3,4,0,2019,7420117.27,3.57,22260351.81,200.00%
Cupang,Duplex,273,279,3,6,1,1,2022,2187805.38,5.78,6563416.14,200.00%
San Luis,Townhouse,374,209,2,3,3,2,2017,7999500.6,3.63,23998501.8,200.00%
Inarawan,Townhouse,161,97,3,3,4,3,2017,9605922.98,2.2,28817768.94,200.00%
San Roque (Poblacion),Townhouse,208,213,1,5,2,0,2018,7160517.22,4.25,21481551.66,200.00%
Calawis,Bungalow,298,89,1,6,3,2,2022,7318861.27,3.09,21956583.81,200.00%
Dalig,Townhouse,179,80,3,6,1,3,2017,7556904.37,2.85,22670713.11,200.00%
San Roque (Poblacion),Single-Family Home,188,183,3,3,2,3,2020,8142426.02,2.51,24427278.06,200.00%
Mayamot,Duplex,283,171,3,4,2,1,2020,8677277.3,5.89,26031831.9,200.00%
San Juan,Townhouse,370,148,2,6,1,0,2014,4044013.88,3.44,12132041.64,200.00%
San Jose (Poblacion),Single-Family Home,242,124,1,2,4,2,2021,8120285.8,2.09,24360857.4,200.00%
Dalig,Townhouse,313,149,3,5,3,3,2017,2633876.6,2.78,7901629.8,200.00%
Muntindilaw,Duplex,262,142,2,4,3,2,2015,2789854.27,2.92,8369562.81,200.00%
San Roque (Poblacion),Bungalow,341,153,1,6,3,3,2014,3117583.93,2.03,9352751.79,200.00%
San Luis,Single-Family Home,276,103,3,6,2,3,2013,7932158.18,2.59,23796474.54,200.00%
Mayamot,Duplex,326,125,2,6,1,3,2019,3727227.38,4.69,11181682.14,200.00%
San Jose (Poblacion),Duplex,365,257,3,3,1,2,2021,7501695.75,3.83,22505087.25,200.00%
San Roque (Poblacion),Townhouse,249,87,2,2,2,1,2022,9034368.33,3.33,27103104.99,200.00%
Bagong Nayon,Single-Family Home,151,277,1,3,3,1,2015,6971133.7,3.46,20913401.1,200.00%
Dela Paz (Poblacion),Duplex,265,144,2,2,1,3,2019,5298057.07,5.92,15894171.21,200.00%
Muntindilaw,Bungalow,385,221,1,5,4,0,2016,5280488.96,5.93,15841466.88,200.00%
Mayamot,Duplex,238,261,3,6,1,2,2016,8035823.16,5.17,24107469.48,200.00%
Bagong Nayon,Townhouse,166,84,2,6,3,0,2020,9750833.7,3.82,29252501.1,200.00%
San Isidro (Poblacion),Bungalow,315,195,1,5,4,1,2015,4749343.05,2.89,14248029.15,200.00%
Dalig,Townhouse,246,93,1,6,2,1,2020,2661724.39,2.25,7985173.17,200.00%
Cupang,Townhouse,274,272,2,5,2,0,2016,5903610.6,5.82,17710831.8,200.00%
Dalig,Duplex,208,110,1,3,2,0,2013,7428794.14,3.34,22286382.42,200.00%
Cupang,Duplex,186,137,2,3,1,3,2017,6003686.14,5.63,18011058.42,200.00%
Dela Paz (Poblacion),Bungalow,202,209,1,6,3,1,2021,4347012.22,5.93,13041036.66,200.00%
Muntindilaw,Duplex,233,186,2,2,3,0,2020,8896987.08,4.35,26690961.24,200.00%
Santa Cruz,Bungalow,244,159,1,5,2,0,2020,7603093.63,4.75,22809280.89,200.00%
San Luis,Single-Family Home,208,150,3,3,1,3,2020,4871016.15,3.77,14613048.45,200.00%
Mambugan,Single-Family Home,192,220,2,6,3,2,2020,9335114.28,3.33,28005342.84,200.00%
San Isidro (Poblacion),Townhouse,340,127,3,3,2,0,2020,8888397.59,2.37,26665192.77,200.00%
Mambugan,Townhouse,352,153,1,5,3,0,2019,8219145.05,4.42,24657435.15,200.00%
Muntindilaw,Single-Family Home,291,164,2,4,2,1,2014,6378240.11,2.55,19134720.33,200.00%
Cupang,Duplex,308,278,3,3,1,0,2013,3992820.18,3.54,11978460.54,200.00%
San Juan,Duplex,306,227,3,2,4,1,2017,8434092.62,3.29,25302277.86,200.00%
San Juan,Single-Family Home,259,102,2,5,3,3,2017,8508146.44,4.16,25524439.32,200.00%
Beverly Hills,Townhouse,183,215,1,5,3,2,2014,6546745.27,4.09,19640235.81,200.00%
San Juan,Duplex,371,167,2,4,2,3,2015,3634901.63,5.89,10904704.89,200.00%
Dela Paz (Poblacion),Townhouse,393,129,3,2,3,0,2019,9176102.45,4.81,27528307.35,200.00%
Bagong Nayon,Townhouse,184,223,1,3,1,1,2014,2134696.92,3.02,6404090.76,200.00%
Mayamot,Bungalow,390,161,1,3,3,3,2014,5582527.77,5.69,16747583.31,200.00%
San Juan,Single-Family Home,371,97,2,5,4,3,2021,6803233.77,3.44,20409701.31,200.00%
San Luis,Duplex,286,273,2,2,4,0,2021,8341593.44,5.13,25024780.32,200.00%
San Luis,Townhouse,317,124,1,2,2,0,2021,4893600.83,2.55,14680802.49,200.00%
San Juan,Duplex,154,195,2,4,3,3,2015,7376994.59,3.53,22130983.77,200.00%
Mambugan,Single-Family Home,187,229,1,3,4,2,2014,2411296.28,3.04,7233888.84,200.00%
Mambugan,Bungalow,390,197,1,4,3,0,2022,5205439.71,2.69,15616319.13,200.00%
San Juan,Duplex,273,202,3,3,2,0,2020,2366600.74,3.48,7099802.22,200.00%
San Jose (Poblacion),Bungalow,356,91,1,2,2,1,2021,9099442.34,3.16,27298327.02,200.00%
San Juan,Single-Family Home,159,144,1,6,1,0,2015,5259603.92,5.99,15778811.76,200.00%
